<<<<<<< HEAD
0.562 1.936 0
0.56 1.936 0
0.559 1.936 0
0.557 1.936 0
0.555 1.936 0
0.554 1.936 0
0.552 1.936 0
0.551 1.936 0
0.549 1.936 0
0.548 1.936 0
0.546 1.936 0
0.544 1.936 0
0.543 1.936 0
0.541 1.936 0
0.54 1.936 0
0.539 1.936 0
0.537 1.936 0
0.536 1.936 0
0.534 1.936 0
0.532 1.936 0
0.531 1.936 0
0.529 1.935 0
0.528 1.935 0
0.526 1.935 0
0.525 1.935 0
0.523 1.935 0
0.522 1.934 0
0.52 1.934 0
0.519 1.934 0
0.517 1.934 0
0.516 1.934 0
0.514 1.933 0
0.512 1.933 0
0.511 1.933 0
0.509 1.933 0
0.507 1.932 0
0.506 1.932 0
0.504 1.932 0
0.503 1.932 0
0.501 1.931 0
0.5 1.931 0
0.498 1.931 0
0.497 1.93 0
0.495 1.93 0
0.494 1.93 0
0.493 1.929 0
0.491 1.929 0
0.49 1.929 0
0.489 1.928 0
0.488 1.928 0
0.486 1.928 0
0.485 1.927 0
0.484 1.927 0
0.483 1.926 0
0.481 1.926 0
0.48 1.925 0
0.479 1.925 0
0.478 1.924 0
0.476 1.924 0
0.475 1.924 0
0.473 1.923 0
0.472 1.923 0
0.47 1.922 0
0.469 1.922 0
0.467 1.922 0
0.466 1.921 0
0.464 1.921 0
0.463 1.921 0
0.461 1.92 0
0.46 1.92 0
0.458 1.92 0
0.457 1.919 0
0.455 1.919 0
0.454 1.919 0
0.453 1.918 0
0.451 1.918 0
0.45 1.918 0
0.449 1.917 0
0.447 1.917 0
0.446 1.917 0
0.444 1.916 0
0.443 1.916 0
0.442 1.915 0
0.441 1.915 0
0.439 1.914 0
0.438 1.914 0
0.437 1.914 0
0.436 1.913 0
0.434 1.913 0
0.433 1.912 0
0.432 1.912 0
0.43 1.912 0
0.429 1.911 0
0.428 1.911 0
0.427 1.911 0
0.425 1.911 0
0.424 1.91 0
0.423 1.91 0
0.421 1.91 0
0.42 1.909 0
0.419 1.909 0
0.418 1.909 0
0.417 1.908 0
0.416 1.908 0
0.415 1.908 0
0.413 1.907 0
0.412 1.907 0
0.411 1.906 0
0.41 1.906 0
0.408 1.905 0
0.407 1.905 0
0.406 1.905 0
0.405 1.904 0
0.404 1.904 0
0.403 1.903 0
0.401 1.903 0
0.4 1.902 0
0.399 1.902 0
0.398 1.901 0
0.396 1.901 0
0.395 1.9 0
0.394 1.899 0
0.393 1.899 0
0.391 1.898 0
0.39 1.897 0
0.389 1.896 0
0.387 1.896 0
0.386 1.895 0
0.385 1.894 0
0.383 1.893 0
0.382 1.892 0
0.381 1.892 0
0.38 1.891 0
0.379 1.89 0
0.378 1.889 0
0.376 1.888 0
0.375 1.887 0
0.374 1.886 0
0.373 1.885 0
0.372 1.884 0
0.371 1.884 0
0.37 1.883 0
0.369 1.882 0
0.368 1.881 0
0.367 1.881 0
0.366 1.88 0
0.365 1.879 0
0.364 1.879 0
0.363 1.878 0
0.362 1.877 0
0.361 1.877 0
0.361 1.876 0
0.36 1.875 0
0.359 1.874 0
0.358 1.874 0
0.357 1.873 0
0.357 1.872 0
0.356 1.872 0
0.355 1.871 0
0.354 1.87 0
0.354 1.869 0
0.353 1.869 0
0.352 1.868 0
0.351 1.867 0
0.35 1.867 0
0.349 1.866 0
0.348 1.865 0
0.347 1.865 0
0.346 1.864 0
0.345 1.863 0
0.344 1.862 0
0.343 1.862 0
0.342 1.861 0
0.341 1.86 0
0.34 1.86 0
0.339 1.859 0
0.338 1.858 0
0.337 1.857 0
0.336 1.857 0
0.335 1.856 0
0.333 1.855 0
0.332 1.854 0
0.33 1.854 0
0.329 1.853 0
0.327 1.852 0
0.326 1.851 0
0.324 1.851 0
0.323 1.85 0
0.321 1.849 0
0.32 1.848 0
0.319 1.848 0
0.317 1.847 0
0.316 1.846 0
0.314 1.845 0
0.313 1.844 0
0.311 1.843 0
0.31 1.842 0
0.308 1.841 0
0.307 1.841 0
0.305 1.84 0
0.303 1.839 0
0.302 1.838 0
0.3 1.837 0
0.299 1.836 0
0.297 1.835 0
0.296 1.834 0
0.295 1.833 0
0.293 1.832 0
0.292 1.831 0
0.291 1.83 0
0.289 1.829 0
0.288 1.828 0
0.287 1.827 0
0.285 1.826 0
0.284 1.825 0
0.283 1.824 0
0.282 1.823 0
0.28 1.822 0
0.279 1.821 0
0.277 1.82 0
0.276 1.819 0
0.275 1.818 0
0.273 1.817 0
0.272 1.816 0
0.27 1.815 0
0.269 1.814 0
0.267 1.813 0
0.266 1.812 0
0.264 1.811 0
0.262 1.811 0
0.261 1.81 0
0.259 1.809 0
0.258 1.808 0
0.256 1.807 0
0.255 1.806 0
0.253 1.805 0
0.252 1.804 0
0.25 1.803 0
0.249 1.802 0
0.247 1.801 0
0.246 1.8 0
0.244 1.798 0
0.243 1.797 0
0.241 1.796 0
0.24 1.795 0
0.239 1.794 0
0.237 1.793 0
0.236 1.792 0
0.235 1.791 0
0.233 1.79 0
0.232 1.789 0
0.23 1.788 0
0.229 1.787 0
0.227 1.786 0
0.226 1.785 0
0.224 1.784 0
0.222 1.783 0
0.221 1.782 0
0.219 1.781 0
0.217 1.78 0
0.216 1.779 0
0.214 1.778 0
0.213 1.777 0
0.211 1.776 0
0.21 1.775 0
0.208 1.774 0
0.207 1.773 0
0.205 1.772 0
0.203 1.771 0
0.202 1.77 0
0.2 1.77 0
0.199 1.769 0
0.197 1.768 0
0.196 1.767 0
0.194 1.766 0
0.192 1.765 0
0.191 1.764 0
0.189 1.763 0
0.188 1.762 0
0.186 1.761 0
0.185 1.761 0
0.183 1.76 0
0.182 1.759 0
0.18 1.758 0
0.179 1.757 0
0.177 1.756 0
0.176 1.755 0
0.174 1.755 0
0.172 1.754 0
0.171 1.753 0
0.169 1.752 0
0.168 1.751 0
0.166 1.75 0
0.164 1.749 0
0.163 1.748 0
0.161 1.747 0
0.159 1.746 0
0.158 1.745 0
0.156 1.744 0
0.155 1.743 0
0.153 1.742 0
0.151 1.741 0
0.15 1.74 0
0.148 1.74 0
0.146 1.739 0
0.145 1.738 0
0.143 1.737 0
0.142 1.736 0
0.14 1.735 0
0.138 1.734 0
0.137 1.733 0
0.135 1.732 0
0.133 1.731 0
0.132 1.73 0
0.13 1.729 0
0.128 1.728 0
0.127 1.727 0
0.125 1.726 0
0.123 1.725 0
0.122 1.724 0
0.12 1.723 0
0.119 1.722 0
0.117 1.721 0
0.115 1.719 0
0.114 1.718 0
0.112 1.717 0
0.111 1.716 0
0.109 1.715 0
0.107 1.714 0
0.106 1.712 0
0.104 1.711 0
0.103 1.71 0
0.101 1.709 0
0.099 1.707 0
0.098 1.706 0
0.096 1.705 0
0.095 1.703 0
0.094 1.702 0
0.092 1.7 0
0.091 1.699 0
0.089 1.698 0
0.088 1.696 0
0.086 1.695 0
0.084 1.693 0
0.083 1.692 0
0.081 1.691 0
0.08 1.689 0
0.078 1.688 0
0.076 1.687 0
0.074 1.685 0
0.073 1.684 0
0.071 1.683 0
0.069 1.681 0
0.067 1.68 0
0.065 1.678 0
0.063 1.677 0
0.062 1.675 0
0.06 1.674 0
0.058 1.673 0
0.056 1.671 0
0.055 1.67 0
0.053 1.668 0
0.051 1.667 0
0.049 1.666 0
0.047 1.664 0
0.046 1.663 0
0.044 1.662 0
0.042 1.66 0
0.041 1.659 0
0.039 1.658 0
0.037 1.656 0
0.035 1.655 0
0.034 1.653 0
0.032 1.652 0
0.03 1.651 0
0.029 1.649 0
0.027 1.648 0
0.025 1.647 0
0.023 1.645 0
0.022 1.644 0
0.02 1.643 0
0.018 1.641 0
0.016 1.64 0
0.014 1.638 0
0.012 1.637 0
0.011 1.636 0
0.009 1.634 0
0.007 1.633 0
0.005 1.631 0
0.004 1.63 0
0.002 1.629 0
-0.0 1.627 0
-0.002 1.626 0
-0.004 1.624 0
-0.005 1.623 0
-0.007 1.622 0
-0.009 1.62 0
-0.011 1.619 0
-0.012 1.617 0
-0.014 1.616 0
-0.016 1.615 0
-0.018 1.613 0
-0.02 1.612 0
-0.021 1.61 0
-0.023 1.609 0
-0.025 1.607 0
-0.026 1.606 0
-0.028 1.604 0
-0.03 1.603 0
-0.031 1.601 0
-0.033 1.599 0
-0.034 1.598 0
-0.036 1.596 0
-0.038 1.595 0
-0.039 1.593 0
-0.041 1.592 0
-0.043 1.59 0
-0.044 1.589 0
-0.046 1.587 0
-0.048 1.585 0
-0.049 1.584 0
-0.051 1.582 0
-0.053 1.58 0
-0.054 1.579 0
-0.056 1.577 0
-0.058 1.575 0
-0.059 1.574 0
-0.061 1.572 0
-0.063 1.57 0
-0.064 1.568 0
-0.066 1.566 0
-0.068 1.565 0
-0.069 1.563 0
-0.071 1.561 0
-0.073 1.559 0
-0.074 1.557 0
-0.076 1.555 0
-0.078 1.554 0
-0.08 1.552 0
-0.081 1.55 0
-0.083 1.548 0
-0.085 1.547 0
-0.087 1.545 0
-0.088 1.543 0
-0.09 1.541 0
-0.092 1.539 0
-0.094 1.538 0
-0.095 1.536 0
-0.097 1.534 0
-0.099 1.532 0
-0.101 1.531 0
-0.102 1.529 0
-0.104 1.527 0
-0.106 1.525 0
-0.108 1.523 0
-0.11 1.522 0
-0.111 1.52 0
-0.113 1.518 0
-0.115 1.516 0
-0.117 1.515 0
-0.119 1.513 0
-0.12 1.511 0
-0.122 1.509 0
-0.124 1.508 0
-0.126 1.506 0
-0.128 1.504 0
-0.13 1.503 0
-0.132 1.501 0
-0.134 1.499 0
-0.137 1.498 0
-0.139 1.496 0
-0.141 1.494 0
-0.143 1.492 0
-0.145 1.491 0
-0.147 1.489 0
-0.149 1.487 0
-0.152 1.485 0
-0.154 1.483 0
-0.156 1.482 0
-0.158 1.48 0
-0.161 1.478 0
-0.163 1.476 0
-0.165 1.474 0
-0.168 1.472 0
-0.17 1.471 0
-0.172 1.469 0
-0.175 1.467 0
-0.177 1.465 0
-0.179 1.463 0
-0.182 1.461 0
-0.184 1.459 0
-0.187 1.457 0
-0.189 1.455 0
-0.192 1.453 0
-0.194 1.451 0
-0.197 1.449 0
-0.199 1.447 0
-0.201 1.445 0
-0.204 1.443 0
-0.206 1.441 0
-0.208 1.439 0
-0.211 1.437 0
-0.213 1.435 0
-0.215 1.432 0
-0.218 1.43 0
-0.22 1.428 0
-0.222 1.426 0
-0.224 1.424 0
-0.227 1.422 0
-0.229 1.419 0
-0.231 1.417 0
-0.233 1.415 0
-0.235 1.413 0
-0.238 1.41 0
-0.24 1.408 0
-0.242 1.406 0
-0.244 1.403 0
-0.246 1.401 0
-0.248 1.398 0
-0.251 1.396 0
-0.253 1.393 0
-0.255 1.391 0
-0.257 1.389 0
-0.259 1.386 0
-0.262 1.384 0
-0.264 1.381 0
-0.266 1.379 0
-0.268 1.376 0
-0.27 1.374 0
-0.272 1.371 0
-0.274 1.369 0
-0.276 1.366 0
-0.278 1.363 0
-0.28 1.361 0
-0.282 1.358 0
-0.285 1.356 0
-0.287 1.353 0
-0.289 1.35 0
-0.291 1.348 0
-0.293 1.345 0
-0.295 1.342 0
-0.298 1.34 0
-0.3 1.337 0
-0.302 1.335 0
-0.304 1.332 0
-0.306 1.329 0
-0.308 1.327 0
-0.31 1.324 0
-0.312 1.321 0
-0.314 1.319 0
-0.316 1.316 0
-0.318 1.313 0
-0.321 1.31 0
-0.323 1.308 0
-0.325 1.305 0
-0.327 1.302 0
-0.329 1.299 0
-0.331 1.296 0
-0.333 1.294 0
-0.336 1.291 0
-0.338 1.288 0
-0.34 1.285 0
-0.342 1.283 0
-0.344 1.28 0
-0.346 1.277 0
-0.348 1.274 0
-0.35 1.272 0
-0.351 1.269 0
-0.353 1.266 0
-0.355 1.263 0
-0.357 1.26 0
-0.359 1.257 0
-0.361 1.255 0
-0.363 1.252 0
-0.364 1.249 0
-0.366 1.246 0
-0.368 1.243 0
-0.37 1.241 0
-0.371 1.238 0
-0.373 1.235 0
-0.375 1.233 0
-0.376 1.23 0
-0.378 1.227 0
-0.38 1.224 0
-0.381 1.221 0
-0.383 1.219 0
-0.385 1.216 0
-0.387 1.213 0
-0.388 1.21 0
-0.39 1.207 0
-0.392 1.204 0
-0.394 1.201 0
-0.395 1.198 0
-0.397 1.196 0
-0.399 1.193 0
-0.4 1.19 0
-0.402 1.187 0
-0.403 1.184 0
-0.405 1.181 0
-0.407 1.178 0
-0.408 1.175 0
-0.41 1.172 0
-0.411 1.169 0
-0.413 1.166 0
-0.415 1.163 0
-0.416 1.16 0
-0.418 1.157 0
-0.419 1.155 0
-0.421 1.152 0
-0.422 1.149 0
-0.424 1.146 0
-0.425 1.143 0
-0.427 1.14 0
-0.429 1.137 0
-0.43 1.134 0
-0.431 1.131 0
-0.433 1.128 0
-0.434 1.125 0
-0.436 1.122 0
-0.437 1.119 0
-0.438 1.116 0
-0.44 1.113 0
-0.441 1.11 0
-0.442 1.106 0
-0.444 1.103 0
-0.445 1.1 0
-0.446 1.097 0
-0.447 1.094 0
-0.449 1.091 0
-0.45 1.088 0
-0.451 1.085 0
-0.453 1.082 0
-0.454 1.079 0
-0.455 1.076 0
-0.456 1.073 0
-0.458 1.07 0
-0.459 1.066 0
-0.46 1.063 0
-0.461 1.061 0
-0.463 1.058 0
-0.464 1.055 0
-0.465 1.052 0
-0.467 1.049 0
-0.468 1.046 0
-0.469 1.043 0
-0.471 1.04 0
-0.472 1.037 0
-0.473 1.034 0
-0.474 1.031 0
-0.475 1.028 0
-0.477 1.025 0
-0.478 1.022 0
-0.479 1.019 0
-0.48 1.016 0
-0.481 1.014 0
-0.482 1.011 0
-0.483 1.008 0
-0.485 1.005 0
-0.486 1.002 0
-0.487 0.999 0
-0.488 0.996 0
-0.489 0.993 0
-0.49 0.99 0
-0.491 0.987 0
-0.492 0.984 0
-0.493 0.981 0
-0.494 0.978 0
-0.495 0.975 0
-0.496 0.972 0
-0.497 0.969 0
-0.498 0.967 0
-0.499 0.964 0
-0.5 0.961 0
-0.501 0.958 0
-0.502 0.955 0
-0.503 0.952 0
-0.504 0.949 0
-0.505 0.946 0
-0.506 0.944 0
-0.507 0.941 0
-0.509 0.938 0
-0.51 0.935 0
-0.511 0.933 0
-0.512 0.93 0
-0.513 0.927 0
-0.514 0.925 0
-0.514 0.922 0
-0.515 0.92 0
-0.516 0.917 0
-0.517 0.914 0
-0.518 0.912 0
-0.519 0.909 0
-0.52 0.907 0
-0.521 0.904 0
-0.522 0.902 0
-0.522 0.899 0
-0.523 0.897 0
-0.524 0.894 0
-0.525 0.891 0
-0.526 0.889 0
-0.527 0.886 0
-0.528 0.883 0
-0.528 0.881 0
-0.529 0.878 0
-0.53 0.876 0
-0.531 0.873 0
-0.532 0.87 0
-0.533 0.868 0
-0.533 0.865 0
-0.534 0.863 0
-0.535 0.86 0
-0.536 0.857 0
-0.536 0.855 0
-0.537 0.852 0
-0.538 0.85 0
-0.539 0.847 0
-0.539 0.844 0
-0.54 0.842 0
-0.541 0.839 0
-0.542 0.836 0
-0.543 0.834 0
-0.543 0.831 0
-0.544 0.828 0
-0.545 0.825 0
-0.546 0.823 0
-0.546 0.82 0
-0.547 0.817 0
-0.547 0.814 0
-0.548 0.811 0
-0.549 0.809 0
-0.549 0.806 0
-0.55 0.803 0
-0.551 0.8 0
-0.551 0.798 0
-0.552 0.795 0
-0.552 0.792 0
-0.553 0.789 0
-0.554 0.787 0
-0.554 0.784 0
-0.555 0.781 0
-0.556 0.778 0
-0.556 0.775 0
-0.557 0.773 0
-0.557 0.77 0
-0.558 0.767 0
-0.558 0.764 0
-0.559 0.762 0
-0.559 0.759 0
-0.56 0.756 0
-0.56 0.753 0
-0.561 0.751 0
-0.561 0.748 0
-0.562 0.745 0
-0.562 0.742 0
-0.562 0.74 0
-0.563 0.737 0
-0.563 0.734 0
-0.563 0.732 0
-0.564 0.729 0
-0.564 0.726 0
-0.565 0.724 0
-0.565 0.721 0
-0.565 0.718 0
-0.566 0.716 0
-0.566 0.713 0
-0.567 0.711 0
-0.567 0.708 0
-0.567 0.705 0
-0.568 0.703 0
-0.568 0.7 0
-0.569 0.697 0
-0.569 0.695 0
-0.569 0.692 0
-0.57 0.689 0
-0.57 0.687 0
-0.57 0.684 0
-0.57 0.681 0
-0.57 0.679 0
-0.571 0.676 0
-0.571 0.673 0
-0.571 0.671 0
-0.571 0.668 0
-0.571 0.665 0
-0.571 0.663 0
-0.571 0.66 0
-0.571 0.658 0
-0.571 0.655 0
-0.571 0.652 0
-0.571 0.65 0
-0.571 0.647 0
-0.571 0.644 0
-0.571 0.641 0
-0.57 0.639 0
-0.57 0.636 0
-0.57 0.633 0
-0.57 0.631 0
-0.57 0.628 0
-0.57 0.626 0
-0.57 0.623 0
-0.57 0.62 0
-0.57 0.618 0
-0.57 0.615 0
-0.57 0.612 0
-0.57 0.61 0
-0.57 0.607 0
-0.57 0.604 0
-0.569 0.602 0
-0.569 0.599 0
-0.569 0.596 0
-0.569 0.594 0
-0.569 0.591 0
-0.569 0.589 0
-0.569 0.586 0
-0.569 0.583 0
-0.569 0.581 0
-0.569 0.578 0
-0.569 0.576 0
-0.569 0.574 0
-0.569 0.571 0
-0.569 0.569 0
-0.569 0.567 0
-0.569 0.564 0
-0.569 0.562 0
-0.569 0.56 0
-0.569 0.557 0
-0.569 0.555 0
-0.569 0.553 0
-0.569 0.55 0
-0.568 0.548 0
-0.568 0.546 0
-0.568 0.543 0
-0.568 0.541 0
-0.568 0.539 0
-0.568 0.536 0
-0.568 0.534 0
-0.568 0.532 0
-0.567 0.529 0
-0.567 0.527 0
-0.567 0.525 0
-0.567 0.522 0
-0.567 0.52 0
-0.567 0.518 0
-0.567 0.515 0
-0.567 0.513 0
-0.567 0.511 0
-0.566 0.508 0
-0.566 0.506 0
-0.566 0.504 0
-0.566 0.501 0
-0.566 0.499 0
-0.566 0.497 0
-0.566 0.494 0
-0.566 0.492 0
-0.566 0.489 0
-0.566 0.487 0
-0.566 0.485 0
-0.566 0.482 0
-0.566 0.48 0
-0.566 0.477 0
-0.566 0.475 0
-0.566 0.472 0
-0.566 0.47 0
-0.565 0.468 0
-0.565 0.465 0
-0.565 0.463 0
-0.565 0.46 0
-0.565 0.458 0
-0.565 0.456 0
-0.565 0.453 0
-0.564 0.451 0
-0.564 0.449 0
-0.564 0.446 0
-0.564 0.444 0
-0.564 0.441 0
-0.563 0.439 0
-0.563 0.436 0
-0.563 0.434 0
-0.563 0.431 0
-0.562 0.429 0
-0.562 0.426 0
-0.562 0.424 0
-0.561 0.421 0
-0.561 0.419 0
-0.561 0.416 0
-0.56 0.414 0
-0.56 0.412 0
-0.56 0.409 0
-0.559 0.407 0
-0.559 0.404 0
-0.558 0.402 0
-0.558 0.399 0
-0.558 0.397 0
-0.557 0.394 0
-0.557 0.392 0
-0.556 0.39 0
-0.556 0.387 0
-0.555 0.385 0
-0.555 0.382 0
-0.555 0.38 0
-0.554 0.377 0
-0.554 0.375 0
-0.553 0.372 0
-0.553 0.37 0
-0.553 0.368 0
-0.552 0.365 0
-0.552 0.363 0
-0.551 0.36 0
-0.551 0.358 0
-0.55 0.356 0
-0.55 0.353 0
-0.55 0.351 0
-0.549 0.349 0
-0.549 0.346 0
-0.549 0.344 0
-0.548 0.342 0
-0.548 0.34 0
-0.547 0.337 0
-0.547 0.335 0
-0.546 0.333 0
-0.546 0.331 0
-0.545 0.329 0
-0.545 0.326 0
-0.545 0.324 0
-0.544 0.322 0
-0.544 0.32 0
-0.543 0.318 0
-0.543 0.315 0
-0.542 0.313 0
-0.542 0.311 0
-0.541 0.309 0
-0.541 0.307 0
-0.54 0.305 0
-0.54 0.303 0
-0.539 0.301 0
-0.539 0.298 0
-0.538 0.296 0
-0.538 0.294 0
-0.537 0.292 0
-0.537 0.29 0
-0.536 0.288 0
-0.535 0.286 0
-0.535 0.284 0
-0.534 0.282 0
-0.534 0.28 0
-0.533 0.278 0
-0.533 0.275 0
-0.532 0.273 0
-0.532 0.271 0
-0.531 0.269 0
-0.531 0.267 0
-0.53 0.265 0
-0.529 0.263 0
-0.529 0.261 0
-0.528 0.259 0
-0.528 0.258 0
-0.527 0.256 0
-0.526 0.254 0
-0.526 0.252 0
-0.525 0.25 0
-0.525 0.248 0
-0.524 0.246 0
-0.523 0.244 0
-0.523 0.242 0
-0.522 0.24 0
-0.521 0.238 0
-0.521 0.236 0
-0.52 0.234 0
-0.52 0.233 0
-0.519 0.231 0
-0.518 0.229 0
-0.518 0.227 0
-0.517 0.225 0
-0.516 0.223 0
-0.515 0.221 0
-0.514 0.22 0
-0.514 0.218 0
-0.513 0.216 0
-0.512 0.214 0
-0.511 0.212 0
-0.51 0.21 0
-0.509 0.208 0
-0.509 0.206 0
-0.508 0.205 0
-0.507 0.203 0
-0.506 0.201 0
-0.505 0.199 0
-0.504 0.197 0
-0.503 0.195 0
-0.502 0.194 0
-0.501 0.192 0
-0.5 0.19 0
-0.499 0.188 0
-0.498 0.186 0
-0.497 0.184 0
-0.496 0.182 0
-0.495 0.181 0
-0.494 0.179 0
-0.493 0.177 0
-0.492 0.175 0
-0.491 0.173 0
-0.49 0.172 0
-0.489 0.17 0
-0.488 0.168 0
-0.486 0.166 0
-0.485 0.164 0
-0.484 0.163 0
-0.483 0.161 0
-0.482 0.159 0
-0.48 0.157 0
-0.479 0.156 0
-0.478 0.154 0
-0.477 0.152 0
-0.475 0.151 0
-0.474 0.149 0
-0.473 0.147 0
-0.472 0.145 0
-0.47 0.144 0
-0.469 0.142 0
-0.468 0.14 0
-0.466 0.139 0
-0.465 0.137 0
-0.464 0.135 0
-0.462 0.134 0
-0.461 0.132 0
-0.46 0.13 0
-0.458 0.129 0
-0.457 0.127 0
-0.455 0.126 0
-0.454 0.124 0
-0.453 0.122 0
-0.451 0.121 0
-0.45 0.119 0
-0.448 0.118 0
-0.447 0.116 0
-0.445 0.115 0
-0.444 0.113 0
-0.442 0.112 0
-0.441 0.11 0
-0.439 0.109 0
-0.438 0.107 0
-0.436 0.106 0
-0.435 0.104 0
-0.433 0.103 0
-0.431 0.101 0
-0.43 0.1 0
-0.428 0.098 0
-0.427 0.097 0
-0.425 0.095 0
-0.423 0.094 0
-0.422 0.092 0
-0.42 0.091 0
-0.419 0.089 0
-0.417 0.088 0
-0.415 0.087 0
-0.414 0.085 0
-0.412 0.084 0
-0.41 0.082 0
-0.409 0.081 0
-0.407 0.08 0
-0.405 0.078 0
-0.404 0.077 0
-0.402 0.075 0
-0.401 0.074 0
-0.399 0.073 0
-0.397 0.071 0
-0.396 0.07 0
-0.394 0.069 0
-0.392 0.067 0
-0.391 0.066 0
-0.389 0.065 0
-0.388 0.064 0
-0.386 0.062 0
-0.384 0.061 0
-0.383 0.06 0
-0.381 0.059 0
-0.38 0.058 0
-0.378 0.056 0
-0.376 0.055 0
-0.375 0.054 0
-0.373 0.053 0
-0.372 0.052 0
-0.37 0.051 0
-0.368 0.049 0
-0.367 0.048 0
-0.365 0.047 0
-0.364 0.046 0
-0.362 0.045 0
-0.36 0.044 0
-0.358 0.043 0
-0.357 0.042 0
-0.355 0.04 0
-0.353 0.039 0
-0.352 0.038 0
-0.35 0.037 0
-0.348 0.036 0
-0.346 0.035 0
-0.344 0.034 0
-0.342 0.033 0
